,Well,Concentration (Mol),Cytokine,Time (min),pSTAT1 in B cells,pSTAT1 in CD8+ T cells,pSTAT1 in CD4+ T cells
export_Specimen_001_G3_G03_075_Lymphocytes.fcs,G3,1.00E-11,IFN-alpha,5,237.752765,309.8339657,234.9859742
export_Specimen_001_G4_G04_076_Lymphocytes.fcs,G4,2.00E-13,IFN-beta,5,237.4175387,314.4584541,228.749862
export_Specimen_001_G5_G05_077_Lymphocytes.fcs,G5,1.00E-11,IFN-alpha,7.5,275.1902492,357.8305949,252.4917667
export_Specimen_001_G6_G06_078_Lymphocytes.fcs,G6,2.00E-13,IFN-beta,7.5,250.9005597,338.5618385,235.7896309
export_Specimen_001_G7_G07_079_Lymphocytes.fcs,G7,1.00E-11,IFN-alpha,10,282.1784582,377.6728351,266.8131587
export_Specimen_001_G8_G08_080_Lymphocytes.fcs,G8,2.00E-13,IFN-beta,10,235.005696,309.1912207,225.5117999
export_Specimen_001_G9_G09_081_Lymphocytes.fcs,G9,1.00E-11,IFN-alpha,20,402.4728432,479.9342816,349.9017957
export_Specimen_001_G10_G10_082_Lymphocytes.fcs,G10,2.00E-13,IFN-beta,20,270.8964051,342.9956601,232.5088996
export_Specimen_001_G11_G11_083_Lymphocytes.fcs,G11,1.00E-11,IFN-alpha,60,564.525656,572.2201165,487.4226641
export_Specimen_001_G12_G12_084_Lymphocytes.fcs,G12,2.00E-13,IFN-beta,60,350.4168971,395.7362732,307.112775
export_Specimen_001_H1_H01_085_Lymphocytes.fcs,H1,0,IFN-alpha,2.5,256.2215374,332.9780304,237.4170859
export_Specimen_001_H2_H02_086_Lymphocytes.fcs,H2,0,IFN-beta,2.5,222.2710254,283.6587888,211.4218156
export_Specimen_001_H3_H03_087_Lymphocytes.fcs,H3,0,IFN-alpha,5,233.3958833,301.2089803,222.7301096
export_Specimen_001_H4_H04_088_Lymphocytes.fcs,H4,0,IFN-beta,5,263.8194995,315.8140325,245.426975
export_Specimen_001_H5_H05_089_Lymphocytes.fcs,H5,0,IFN-alpha,7.5,253.5664358,324.8445207,243.0206648
export_Specimen_001_H6_H06_090_Lymphocytes.fcs,H6,0,IFN-beta,7.5,267.2149904,324.4146517,253.9993029
export_Specimen_001_H7_H07_091_Lymphocytes.fcs,H7,0,IFN-alpha,10,246.5372818,320.8966395,239.7825471
export_Specimen_001_H8_H08_092_Lymphocytes.fcs,H8,0,IFN-beta,10,273.9174633,324.3054564,228.8673687
export_Specimen_001_H9_H09_093_Lymphocytes.fcs,H9,0,IFN-alpha,20,247.9199955,319.7852229,225.3722647
export_Specimen_001_H10_H10_094_Lymphocytes.fcs,H10,0,IFN-beta,20,257.1321477,312.6688593,216.5287064
export_Specimen_001_H11_H11_095_Lymphocytes.fcs,H11,0,IFN-alpha,60,278.7093585,343.6160893,258.0715893
export_Specimen_001_H12_H12_096_Lymphocytes.fcs,H12,0,IFN-beta,60,258.5705833,321.3221534,224.5808739
