,Well,Concentration (Mol),Cytokine,Time (min),pSTAT1 in B cells,pSTAT1 in CD8+ T cells,pSTAT1 in CD4+ T cells
export_Specimen_001_D3_D03_039_Lymphocytes.fcs,D3,1e-09,IFN-alpha,5.0,430.82421875,1070.6824951171875,967.0038452148438
export_Specimen_001_D4_D04_040_Lymphocytes.fcs,D4,6e-11,IFN-beta,5.0,279.4186096191406,719.3350219726562,637.8825073242188
export_Specimen_001_D5_D05_041_Lymphocytes.fcs,D5,1e-09,IFN-alpha,7.5,583.3798828125,1363.3865966796875,1250.44287109375
export_Specimen_001_D6_D06_042_Lymphocytes.fcs,D6,6e-11,IFN-beta,7.5,377.07757568359375,949.7166748046875,886.1492919921875
export_Specimen_001_D7_D07_043_Lymphocytes.fcs,D7,1e-09,IFN-alpha,10.0,655.7615966796875,1413.654296875,1387.2110595703125
export_Specimen_001_D8_D08_044_Lymphocytes.fcs,D8,6e-11,IFN-beta,10.0,523.8731689453125,1115.61669921875,1083.483154296875
export_Specimen_001_D9_D09_045_Lymphocytes.fcs,D9,1e-09,IFN-alpha,20.0,766.088623046875,1471.9521484375,1533.3851318359375
export_Specimen_001_D10_D10_046_Lymphocytes.fcs,D10,6e-11,IFN-beta,20.0,816.1401977539062,1498.02001953125,1610.0050048828125
export_Specimen_001_D11_D11_047_Lymphocytes.fcs,D11,1e-09,IFN-alpha,60.0,738.5643310546875,1141.92626953125,1157.1275634765625
export_Specimen_001_D12_D12_048_Lymphocytes.fcs,D12,6e-11,IFN-beta,60.0,960.6046752929688,1428.75830078125,1406.757080078125
export_Specimen_001_E1_E01_049_Lymphocytes.fcs,E1,3e-10,IFN-alpha,2.5,183.49256896972656,507.1701354980469,403.03863525390625
export_Specimen_001_E2_E02_050_Lymphocytes.fcs,E2,2e-11,IFN-beta,2.5,105.90555572509766,361.68280029296875,269.85699462890625
export_Specimen_001_E3_E03_051_Lymphocytes.fcs,E3,3e-10,IFN-alpha,5.0,302.7474365234375,783.3720092773438,685.30419921875
export_Specimen_001_E4_E04_052_Lymphocytes.fcs,E4,2e-11,IFN-beta,5.0,135.24351501464844,457.0729064941406,365.6852722167969
export_Specimen_001_E5_E05_053_Lymphocytes.fcs,E5,3e-10,IFN-alpha,7.5,456.49896240234375,1169.5064697265625,1031.4859619140625
export_Specimen_001_E6_E06_054_Lymphocytes.fcs,E6,2e-11,IFN-beta,7.5,210.62486267089844,653.5274658203125,525.7174682617188
export_Specimen_001_E7_E07_055_Lymphocytes.fcs,E7,3e-10,IFN-alpha,10.0,534.1017456054688,1215.9388427734375,1108.7996826171875
export_Specimen_001_E8_E08_056_Lymphocytes.fcs,E8,2e-11,IFN-beta,10.0,293.47186279296875,741.2202758789062,612.4030151367188
export_Specimen_001_E9_E09_057_Lymphocytes.fcs,E9,3e-10,IFN-alpha,20.0,690.4459838867188,1351.527099609375,1322.2855224609375
export_Specimen_001_E10_E10_058_Lymphocytes.fcs,E10,2e-11,IFN-beta,20.0,543.7044067382812,1103.44873046875,984.9338989257812
export_Specimen_001_E11_E11_059_Lymphocytes.fcs,E11,3e-10,IFN-alpha,60.0,754.6309814453125,1237.484619140625,1129.151611328125
export_Specimen_001_E12_E12_060_Lymphocytes.fcs,E12,2e-11,IFN-beta,60.0,891.7542724609375,1305.080078125,1240.078369140625
export_Specimen_001_F1_F01_061_Lymphocytes.fcs,F1,1e-10,IFN-alpha,2.5,141.82583618164062,410.1448669433594,279.73577880859375
export_Specimen_001_F2_F02_062_Lymphocytes.fcs,F2,6e-12,IFN-beta,2.5,117.70555114746094,355.10009765625,222.6757354736328
export_Specimen_001_F3_F03_063_Lymphocytes.fcs,F3,1e-10,IFN-alpha,5.0,230.6141357421875,589.007080078125,446.0823669433594
export_Specimen_001_F4_F04_064_Lymphocytes.fcs,F4,6e-12,IFN-beta,5.0,137.03497314453125,438.3910827636719,274.9040832519531
export_Specimen_001_F5_F05_065_Lymphocytes.fcs,F5,1e-10,IFN-alpha,7.5,331.2502746582031,856.6378173828125,652.811767578125
export_Specimen_001_F6_F06_066_Lymphocytes.fcs,F6,6e-12,IFN-beta,7.5,178.60763549804688,556.638916015625,387.99505615234375
export_Specimen_001_F7_F07_067_Lymphocytes.fcs,F7,1e-10,IFN-alpha,10.0,392.098876953125,933.7393798828125,745.573974609375
export_Specimen_001_F8_F08_068_Lymphocytes.fcs,F8,6e-12,IFN-beta,10.0,220.1573486328125,548.4039916992188,386.55023193359375
export_Specimen_001_F9_F09_069_Lymphocytes.fcs,F9,1e-10,IFN-alpha,20.0,623.4637451171875,1233.1998291015625,1021.6265258789062
export_Specimen_001_F10_F10_070_Lymphocytes.fcs,F10,6e-12,IFN-beta,20.0,334.4081726074219,720.5856323242188,539.2315063476562
export_Specimen_001_F11_F11_071_Lymphocytes.fcs,F11,1e-10,IFN-alpha,60.0,660.6605834960938,1035.8634033203125,979.7237548828125
export_Specimen_001_F12_F12_072_Lymphocytes.fcs,F12,6e-12,IFN-beta,60.0,671.1790771484375,1019.263671875,924.4090576171875
export_Specimen_001_G1_G01_073_Lymphocytes.fcs,G1,1e-11,IFN-alpha,2.5,135.83322143554688,361.7000427246094,228.68801879882812
export_Specimen_001_G2_G02_074_Lymphocytes.fcs,G2,2e-13,IFN-beta,2.5,118.94120025634766,343.35748291015625,217.39556884765625
export_Specimen_001_G3_G03_075_Lymphocytes.fcs,G3,1e-11,IFN-alpha,5.0,182.1432647705078,507.1793212890625,321.6068115234375
export_Specimen_001_G4_G04_076_Lymphocytes.fcs,G4,2e-13,IFN-beta,5.0,146.42808532714844,430.33392333984375,258.0597839355469
export_Specimen_001_G5_G05_077_Lymphocytes.fcs,G5,1e-11,IFN-alpha,7.5,226.73690795898438,631.0394897460938,448.14208984375
export_Specimen_001_G6_G06_078_Lymphocytes.fcs,G6,2e-13,IFN-beta,7.5,191.71875,508.1958312988281,364.8561706542969
export_Specimen_001_G7_G07_079_Lymphocytes.fcs,G7,1e-11,IFN-alpha,10.0,272.13372802734375,677.2025756835938,466.1861267089844
export_Specimen_001_G8_G08_080_Lymphocytes.fcs,G8,2e-13,IFN-beta,10.0,161.337646484375,460.6518249511719,306.43109130859375
export_Specimen_001_G9_G09_081_Lymphocytes.fcs,G9,1e-11,IFN-alpha,20.0,410.6223449707031,877.9954833984375,689.403076171875
export_Specimen_001_G10_G10_082_Lymphocytes.fcs,G10,2e-13,IFN-beta,20.0,194.05068969726562,493.446533203125,335.28155517578125
export_Specimen_001_G11_G11_083_Lymphocytes.fcs,G11,1e-11,IFN-alpha,60.0,597.4490356445312,937.9425048828125,823.4862670898438
export_Specimen_001_G12_G12_084_Lymphocytes.fcs,G12,2e-13,IFN-beta,60.0,340.36553955078125,671.7723999023438,529.4853515625
export_Specimen_001_H1_H01_085_Lymphocytes.fcs,H1,0.0,IFN-alpha,2.5,113.90787506103516,322.8809509277344,176.79574584960938
export_Specimen_001_H2_H02_086_Lymphocytes.fcs,H2,0.0,IFN-beta,2.5,118.32780456542969,336.6546630859375,190.59886169433594
export_Specimen_001_H3_H03_087_Lymphocytes.fcs,H3,0.0,IFN-alpha,5.0,129.36012268066406,401.656494140625,245.1891632080078
export_Specimen_001_H4_H04_088_Lymphocytes.fcs,H4,0.0,IFN-beta,5.0,168.90391540527344,404.2176513671875,247.19778442382812
export_Specimen_001_H5_H05_089_Lymphocytes.fcs,H5,0.0,IFN-alpha,7.5,187.2509307861328,503.32098388671875,275.01080322265625
export_Specimen_001_H6_H06_090_Lymphocytes.fcs,H6,0.0,IFN-beta,7.5,154.57537841796875,467.33367919921875,268.5701904296875
export_Specimen_001_H7_H07_091_Lymphocytes.fcs,H7,0.0,IFN-alpha,10.0,210.2243194580078,487.9472961425781,327.96246337890625
export_Specimen_001_H8_H08_092_Lymphocytes.fcs,H8,0.0,IFN-beta,10.0,157.2591552734375,423.2062683105469,252.097412109375
export_Specimen_001_H9_H09_093_Lymphocytes.fcs,H9,0.0,IFN-alpha,20.0,208.36474609375,505.6206359863281,327.2950744628906
export_Specimen_001_H10_H10_094_Lymphocytes.fcs,H10,0.0,IFN-beta,20.0,160.84901428222656,445.535400390625,268.63372802734375
export_Specimen_001_H11_H11_095_Lymphocytes.fcs,H11,0.0,IFN-alpha,60.0,198.1403350830078,509.0946960449219,359.9708251953125
export_Specimen_001_H12_H12_096_Lymphocytes.fcs,H12,0.0,IFN-beta,60.0,199.05238342285156,494.10791015625,394.1231384277344
