,Well,Concentration (Mol),Cytokine,Time (min),pSTAT1 in B cells,pSTAT1 in CD8+ T cells,pSTAT1 in CD4+ T cells
export_Specimen_001_B7_B07_019_Lymphocytes.fcs,B7,1e-08,IFN-alpha,10.0,4521.93408203125,8325.3232421875,8068.08740234375
export_Specimen_001_B8_B08_020_Lymphocytes.fcs,B8,6e-10,IFN-beta,10.0,4632.50732421875,8712.341796875,8305.197265625
export_Specimen_001_B9_B09_021_Lymphocytes.fcs,B9,1e-08,IFN-alpha,20.0,4540.953125,7569.4716796875,7003.25439453125
export_Specimen_001_B10_B10_022_Lymphocytes.fcs,B10,6e-10,IFN-beta,20.0,4367.279296875,7633.89794921875,6883.8779296875
export_Specimen_001_B11_B11_023_Lymphocytes.fcs,B11,1e-08,IFN-alpha,60.0,2627.107177734375,3875.9091796875,4743.8388671875
export_Specimen_001_B12_B12_024_Lymphocytes.fcs,B12,6e-10,IFN-beta,60.0,2452.217529296875,3576.035888671875,4515.68994140625
export_Specimen_001_C1_C01_025_Lymphocytes.fcs,C1,3e-09,IFN-alpha,2.5,1773.478271484375,3181.0986328125,3852.420166015625
export_Specimen_001_C2_C02_026_Lymphocytes.fcs,C2,2e-10,IFN-beta,2.5,1096.1566162109375,1842.66650390625,2613.602783203125
export_Specimen_001_C3_C03_027_Lymphocytes.fcs,C3,3e-09,IFN-alpha,5.0,2433.30126953125,4874.162109375,5174.9140625
export_Specimen_001_C4_C04_028_Lymphocytes.fcs,C4,2e-10,IFN-beta,5.0,1840.5606689453125,3393.30615234375,4018.62109375
export_Specimen_001_C5_C05_029_Lymphocytes.fcs,C5,3e-09,IFN-alpha,7.5,2771.98779296875,5556.412109375,5522.12744140625
export_Specimen_001_C6_C06_030_Lymphocytes.fcs,C6,2e-10,IFN-beta,7.5,2681.381103515625,5175.66455078125,5472.125
export_Specimen_001_C7_C07_031_Lymphocytes.fcs,C7,3e-09,IFN-alpha,10.0,3458.80126953125,6649.43115234375,6438.44873046875
export_Specimen_001_C8_C08_032_Lymphocytes.fcs,C8,2e-10,IFN-beta,10.0,3379.5966796875,6361.91552734375,6345.046875
export_Specimen_001_C9_C09_033_Lymphocytes.fcs,C9,3e-09,IFN-alpha,20.0,3548.322021484375,6066.4267578125,5744.96337890625
export_Specimen_001_C10_C10_034_Lymphocytes.fcs,C10,2e-10,IFN-beta,20.0,3441.487548828125,6109.92041015625,5802.87939453125
export_Specimen_001_C11_C11_035_Lymphocytes.fcs,C11,3e-09,IFN-alpha,60.0,2254.308837890625,3242.355712890625,4247.3603515625
export_Specimen_001_C12_C12_036_Lymphocytes.fcs,C12,2e-10,IFN-beta,60.0,2370.56591796875,3383.866455078125,4249.2119140625
export_Specimen_001_D1_D01_037_Lymphocytes.fcs,D1,1e-09,IFN-alpha,2.5,1402.9400634765625,2548.6044921875,3174.107666015625
export_Specimen_001_D2_D02_038_Lymphocytes.fcs,D2,6e-11,IFN-beta,2.5,609.7581176757812,865.0410766601562,1741.564453125
export_Specimen_001_D3_D03_039_Lymphocytes.fcs,D3,1e-09,IFN-alpha,5.0,1912.9862060546875,3948.304931640625,4217.87353515625
export_Specimen_001_D4_D04_040_Lymphocytes.fcs,D4,6e-11,IFN-beta,5.0,973.7236938476562,1690.522705078125,2535.571533203125
export_Specimen_001_D5_D05_041_Lymphocytes.fcs,D5,1e-09,IFN-alpha,7.5,2500.9814453125,5040.5185546875,4972.3017578125
export_Specimen_001_D6_D06_042_Lymphocytes.fcs,D6,6e-11,IFN-beta,7.5,1676.3243408203125,3065.605224609375,3626.182373046875
export_Specimen_001_D7_D07_043_Lymphocytes.fcs,D7,1e-09,IFN-alpha,10.0,3236.822265625,6187.25048828125,5881.10009765625
export_Specimen_001_D8_D08_044_Lymphocytes.fcs,D8,6e-11,IFN-beta,10.0,2220.137939453125,4110.58251953125,4390.59423828125
export_Specimen_001_D9_D09_045_Lymphocytes.fcs,D9,1e-09,IFN-alpha,20.0,3415.4287109375,5875.10205078125,5466.205078125
export_Specimen_001_D10_D10_046_Lymphocytes.fcs,D10,6e-11,IFN-beta,20.0,3039.94482421875,5202.9130859375,4811.4443359375
export_Specimen_001_D11_D11_047_Lymphocytes.fcs,D11,1e-09,IFN-alpha,60.0,2153.124755859375,2725.0849609375,3698.49609375
export_Specimen_001_D12_D12_048_Lymphocytes.fcs,D12,6e-11,IFN-beta,60.0,2135.552001953125,2454.805419921875,3496.08642578125
export_Specimen_001_E1_E01_049_Lymphocytes.fcs,E1,3e-10,IFN-alpha,2.5,936.0516967773438,1362.85693359375,2224.947265625
export_Specimen_001_E2_E02_050_Lymphocytes.fcs,E2,2e-11,IFN-beta,2.5,449.6080627441406,482.9860534667969,1450.302001953125
export_Specimen_001_E3_E03_051_Lymphocytes.fcs,E3,3e-10,IFN-alpha,5.0,1453.3216552734375,2835.98681640625,3262.9775390625
export_Specimen_001_E4_E04_052_Lymphocytes.fcs,E4,2e-11,IFN-beta,5.0,533.2571411132812,742.021240234375,1746.3726806640625
export_Specimen_001_E5_E05_053_Lymphocytes.fcs,E5,3e-10,IFN-alpha,7.5,1911.8590087890625,3716.833251953125,3948.18798828125
export_Specimen_001_E6_E06_054_Lymphocytes.fcs,E6,2e-11,IFN-beta,7.5,807.0985717773438,1244.9805908203125,2209.40185546875
export_Specimen_001_E7_E07_055_Lymphocytes.fcs,E7,3e-10,IFN-alpha,10.0,2245.051025390625,4435.50390625,4331.71875
export_Specimen_001_E8_E08_056_Lymphocytes.fcs,E8,2e-11,IFN-beta,10.0,1035.915283203125,1674.9324951171875,2450.55078125
export_Specimen_001_E9_E09_057_Lymphocytes.fcs,E9,3e-10,IFN-alpha,20.0,2386.753662109375,4161.953125,4003.847412109375
export_Specimen_001_E10_E10_058_Lymphocytes.fcs,E10,2e-11,IFN-beta,20.0,1288.8192138671875,1702.9775390625,2478.91455078125
export_Specimen_001_E11_E11_059_Lymphocytes.fcs,E11,3e-10,IFN-alpha,60.0,1432.3341064453125,1465.04638671875,2862.935546875
export_Specimen_001_E12_E12_060_Lymphocytes.fcs,E12,2e-11,IFN-beta,60.0,1274.001953125,1459.4495849609375,2952.4208984375
export_Specimen_001_F1_F01_061_Lymphocytes.fcs,F1,1e-10,IFN-alpha,2.5,620.9916381835938,858.10302734375,1758.861572265625
export_Specimen_001_F2_F02_062_Lymphocytes.fcs,F2,6e-12,IFN-beta,2.5,356.7118225097656,369.47119140625,1341.6727294921875
export_Specimen_001_F3_F03_063_Lymphocytes.fcs,F3,1e-10,IFN-alpha,5.0,936.5387573242188,1556.9652099609375,2343.307861328125
export_Specimen_001_F4_F04_064_Lymphocytes.fcs,F4,6e-12,IFN-beta,5.0,438.4721984863281,484.6066589355469,1637.2315673828125
export_Specimen_001_F5_F05_065_Lymphocytes.fcs,F5,1e-10,IFN-alpha,7.5,1258.13916015625,2134.8759765625,2743.369140625
export_Specimen_001_F6_F06_066_Lymphocytes.fcs,F6,6e-12,IFN-beta,7.5,486.9487609863281,584.0344848632812,1655.9241943359375
export_Specimen_001_F7_F07_067_Lymphocytes.fcs,F7,1e-10,IFN-alpha,10.0,1500.174560546875,2573.2275390625,3018.520751953125
export_Specimen_001_F8_F08_068_Lymphocytes.fcs,F8,6e-12,IFN-beta,10.0,515.8284912109375,577.4904174804688,1733.8585205078125
export_Specimen_001_F9_F09_069_Lymphocytes.fcs,F9,1e-10,IFN-alpha,20.0,1629.8021240234375,2117.296875,2618.565185546875
export_Specimen_001_F10_F10_070_Lymphocytes.fcs,F10,6e-12,IFN-beta,20.0,625.695068359375,770.8280029296875,1856.192626953125
export_Specimen_001_F11_F11_071_Lymphocytes.fcs,F11,1e-10,IFN-alpha,60.0,1087.865966796875,1092.9296875,2591.416748046875
export_Specimen_001_F12_F12_072_Lymphocytes.fcs,F12,6e-12,IFN-beta,60.0,848.259521484375,971.1251831054688,2495.22802734375
export_Specimen_001_G1_G01_073_Lymphocytes.fcs,G1,1e-11,IFN-alpha,2.5,356.5235900878906,369.848388671875,1395.25390625
export_Specimen_001_G2_G02_074_Lymphocytes.fcs,G2,2e-13,IFN-beta,2.5,311.8570556640625,301.8876647949219,1271.572509765625
export_Specimen_001_G3_G03_075_Lymphocytes.fcs,G3,1e-11,IFN-alpha,5.0,413.7984924316406,441.1286315917969,1499.086181640625
export_Specimen_001_G4_G04_076_Lymphocytes.fcs,G4,2e-13,IFN-beta,5.0,371.6507263183594,351.5549621582031,1552.8028564453125
export_Specimen_001_G5_G05_077_Lymphocytes.fcs,G5,1e-11,IFN-alpha,7.5,476.1673889160156,550.5866088867188,1671.6036376953125
export_Specimen_001_G6_G06_078_Lymphocytes.fcs,G6,2e-13,IFN-beta,7.5,371.2171630859375,364.5655822753906,1523.1856689453125
export_Specimen_001_G7_G07_079_Lymphocytes.fcs,G7,1e-11,IFN-alpha,10.0,565.0804443359375,632.3106079101562,1751.99267578125
export_Specimen_001_G8_G08_080_Lymphocytes.fcs,G8,2e-13,IFN-beta,10.0,383.3102111816406,358.339599609375,1562.449462890625
export_Specimen_001_G9_G09_081_Lymphocytes.fcs,G9,1e-11,IFN-alpha,20.0,499.7726135253906,483.7810363769531,1626.7802734375
export_Specimen_001_G10_G10_082_Lymphocytes.fcs,G10,2e-13,IFN-beta,20.0,368.40753173828125,347.395263671875,1497.304443359375
export_Specimen_001_G11_G11_083_Lymphocytes.fcs,G11,1e-11,IFN-alpha,60.0,644.1033325195312,643.7631225585938,2320.913818359375
export_Specimen_001_G12_G12_084_Lymphocytes.fcs,G12,2e-13,IFN-beta,60.0,444.2841491699219,478.568603515625,2182.92431640625
export_Specimen_001_H1_H01_085_Lymphocytes.fcs,H1,0.0,IFN-alpha,2.5,335.87939453125,289.6754455566406,1242.7386474609375
export_Specimen_001_H2_H02_086_Lymphocytes.fcs,H2,0.0,IFN-beta,2.5,313.780517578125,247.48638916015625,1184.1851806640625
export_Specimen_001_H3_H03_087_Lymphocytes.fcs,H3,0.0,IFN-alpha,5.0,388.1060791015625,365.7436828613281,1441.7320556640625
export_Specimen_001_H4_H04_088_Lymphocytes.fcs,H4,0.0,IFN-beta,5.0,308.677978515625,247.5970001220703,1298.7181396484375
export_Specimen_001_H5_H05_089_Lymphocytes.fcs,H5,0.0,IFN-alpha,7.5,338.2920227050781,320.33587646484375,1433.002197265625
export_Specimen_001_H6_H06_090_Lymphocytes.fcs,H6,0.0,IFN-beta,7.5,310.76361083984375,249.03753662109375,1346.2811279296875
export_Specimen_001_H7_H07_091_Lymphocytes.fcs,H7,0.0,IFN-alpha,10.0,365.0305480957031,373.6576232910156,1586.8455810546875
export_Specimen_001_H8_H08_092_Lymphocytes.fcs,H8,0.0,IFN-beta,10.0,323.86102294921875,249.34530639648438,1500.2861328125
export_Specimen_001_H9_H09_093_Lymphocytes.fcs,H9,0.0,IFN-alpha,20.0,346.7662048339844,294.6258239746094,1512.01123046875
export_Specimen_001_H10_H10_094_Lymphocytes.fcs,H10,0.0,IFN-beta,20.0,322.9117431640625,270.0679931640625,1447.9449462890625
export_Specimen_001_H11_H11_095_Lymphocytes.fcs,H11,0.0,IFN-alpha,60.0,391.1368103027344,393.9773254394531,2145.9130859375
export_Specimen_001_H12_H12_096_Lymphocytes.fcs,H12,0.0,IFN-beta,60.0,367.9496765136719,335.3443908691406,2037.7891845703125
