,kpa,kSOCSon,kd4,k_d4,delR,gamma
3256,7.93294827734115e-06,2.3953700049460003e-06,0.7241342964055877,0.63963545614629,-599.4455876031068,1.5237348311875856
3346,1.0603453968178343e-05,3.342891693659425e-06,0.4643027047315029,0.3903701797640121,-2770.0038600927874,1.8338027732935496
3436,1.046648800041906e-05,2.4109553725886034e-06,0.8388066617736588,0.828706327031524,-1964.187648284581,1.7080841976401078
3757,1.206210334615343e-05,2.3334524499093898e-06,0.8355272932548923,0.8801130305841169,-1307.0104616647113,1.4146663413642833
3847,1.2337377580599035e-05,2.0436087919654948e-06,0.9253191542313038,0.8627309275946121,-1171.8982309521807,1.3484012160350405
3937,9.152927325010691e-06,2.3908875039707505e-06,0.6466178734137743,0.5352857946820412,-1175.6390787273485,1.4101009071680408
4258,8.971114424977947e-06,2.7106985560259302e-06,0.8590762718740877,0.7565895665691705,-1310.5238261636034,1.6849890837845918
4348,1.2990012786754395e-05,1.94837828458089e-06,0.8223743394436115,0.7805268248161236,-1584.923914389126,1.3135887082164952
4438,1.1240206414157037e-05,2.0078859897708624e-06,0.8818693804842587,0.7939777480666087,-1741.0853020037553,1.497630508190693
4759,1.4075176269328848e-05,2.1913878742595137e-06,0.7578305446602722,0.637797187858405,-1940.353452746372,1.3005919375242811
4849,8.199875378256365e-06,2.313950470759252e-06,0.6218663719935782,0.4578593677812662,330.98209135932575,1.2846328373480629
4939,1.328087097454751e-05,1.8021560146194957e-06,0.8008429202490689,0.6918552109786068,-936.4802510054193,1.1396448739187488
5260,1.2898751889187948e-05,1.5435376904219127e-06,0.7598406960629345,0.7652221992336531,-656.4376680619788,1.1057105767401176
5350,1.0098267330268987e-05,1.8264877456299442e-06,0.5411844483233564,0.4940885597060998,533.7073917951668,1.0797589928448867
5440,1.2957699657522865e-05,2.1826067016078225e-06,0.6701731142610897,0.5269336583137822,-1603.2265349521986,1.2112454240470565
5761,1.2319484072473647e-05,2.1640051530938054e-06,0.637229682269724,0.5872620370227172,-1300.816936942394,1.204288009210217
5851,1.3133939129588104e-05,2.2739320125712047e-06,0.890566800379967,0.839894492861802,-1415.0245740295165,1.359105803133885
5941,1.334147764533545e-05,2.275568288295447e-06,0.7864122958830425,0.661657480988267,-1338.5359262148104,1.2406505861902233
6262,1.169021466937987e-06,4.470585981428812e-06,0.43068108705829405,0.3034613677936596,-661.4571074674618,4.372129031371856
6352,1.7914816058043438e-05,1.8189465339494115e-06,0.7493421468959287,0.6717014493200906,-2058.170346214183,1.123635392601393
6442,9.930247261955527e-06,2.3437122517996853e-06,0.6321709423110857,0.4800946754998182,-608.3802120025662,1.2335559502449782
6763,2.1791324295018952e-06,9.609510356100965e-06,0.2573653637017925,0.051374501777275386,-674.8257395569416,2.7132209779207432
6853,9.035639589809108e-06,2.492256578761821e-06,0.7359697412895447,0.6783691780402833,-1026.7150197368337,1.5114217736395892
6943,9.739335525750309e-06,1.909001535731869e-06,0.6942133330814706,0.6034425946455625,-537.3251730314581,1.2575200592882116
7264,5.21304553005544e-09,7.500196547037753e-08,0.3557282002180381,0.3714349515418798,3788.659410314489,3078.7481381849652
7354,5.9412678028811026e-08,2.090854725823725e-07,0.3627007398612781,0.31937656067813985,3646.5661116705664,155.9680445873371
7444,5.426037997025437e-06,3.4258168555199437e-06,0.3748184933338095,0.2032263877466558,49.90880999210879,1.438357548491829
