,kpa,kSOCSon,kd4,k_d4,delR,meanR,gamma
412,0.006511487232749685,2.166588543510288e-08,13.289549415645,0.25764019109529324,-973.7894807056452,661.6481476430653,0.2599853064689887
420,0.004901717047911951,1.3405928674188165e-08,12.196641123422868,0.2456829249302177,-740.3190643780864,954.3678901067597,0.2330783615321761
428,0.004051216063006309,2.6044093414079016e-08,9.128229649926675,0.4752466499306118,-131.36559843094244,1091.323810316325,0.2224877679368524
436,0.003299029510535509,2.2127314631518124e-08,12.77851781992193,0.6992702683702892,597.2750144898179,1585.4656787631295,0.215869245560661
444,0.004397023683861587,2.3511837422098127e-08,13.08438144631292,0.2668615351138517,1113.5875127119293,915.6361338030583,0.24593478387311565
452,0.005305318217905909,9.972377403289829e-09,9.351220500185118,0.33377451804953623,564.8240881948008,859.0669466011881,0.22862588973454576
460,0.004493127141534737,1.2384457584138256e-08,15.567468878784444,0.6366570901871197,-615.8786662231996,609.7120899907861,0.2745568524066388
468,0.0046739541577285925,1.202760608176241e-08,23.933537653982768,0.4132904683301253,-229.18096872998504,720.0085273085756,0.2544625065170133
476,0.006417898159565114,1.6142949167822242e-08,18.078047761183246,0.3622930284581802,997.9404757915418,762.0418476004611,0.25205725351369634
484,0.005693068993282287,2.4551039706626567e-08,32.0318226015439,0.13940906598682387,-307.2805804940216,1563.0346244903815,0.2242421088136176
492,0.004633549782857506,2.9423941989817358e-08,23.13497956234125,0.3333524199056857,518.5407704497828,1335.5316978046021,0.23128244125655234
601,0.29472869632244125,1.0356171420065089e-05,0.008267426360832966,0.09078836050385633,-3657.5757204978063,4180.724635922647,0.09628826491596733
609,0.5435337008093434,1.1295367713891675e-05,0.003815128369191589,0.14996337682019842,-1717.8848768303994,4372.171691681911,0.09548036346054774
617,0.5824940924741904,9.696057572488775e-06,0.007748615239149592,0.2973103304890438,-1081.9760911569247,4717.2854004839,0.0952913405968074
625,0.481648096961588,8.103124793803018e-06,0.008932913581026483,0.1066029843036765,-2212.379758912204,3776.9992364476784,0.09552185545843768
633,0.4568355857716904,6.912589754350943e-06,0.003828181794556703,0.5450451086364138,-1817.785416917923,4407.003295527379,0.09531005531714952
641,0.3975986694078932,7.743048000390582e-06,0.0066352032652015995,0.6248000529900138,-2792.059327272785,4815.0102348550645,0.09543473739355343
649,0.5290597250806822,5.00557043768858e-06,0.005623610266362134,0.6905525079908471,-4532.186034276198,4682.6804287702225,0.09528393872976376
657,0.8535093750050681,4.960005470759606e-06,0.008410732256868541,0.4743767396194794,-4019.4847407333473,4993.903899085137,0.09511560835595588
665,0.9401447278596716,3.9996758363204216e-06,0.017827034261556258,0.32447724892638835,-5816.968552344751,4307.369381312001,0.09519520519749036
673,0.5303172462825128,4.564976773961045e-06,0.015608072197838928,0.2412076150025673,-7767.504614567596,5009.762188476197,0.09556015589439093
681,0.7099868389033123,4.4916763819819055e-06,0.008076245413441185,0.12070666844694712,-8786.94646286979,4884.778875584132,0.09593722777243538
689,0.8814512965395274,4.935799536113342e-06,0.00642628133943805,0.17910997380636962,-8082.607763053812,5003.682500316617,0.09543067235063066
697,0.7824316696407514,4.32238409456444e-06,0.012159875005385562,0.8892634079503872,-6230.238554585704,4611.814226982568,0.09525943282622093
705,0.8984058693962065,3.2117105659085133e-06,0.004757759910167314,0.6535748648507463,-4956.533869649941,4823.730148334782,0.0950634707771112
713,0.6017301416954186,2.5894688570143123e-06,0.01068650015571011,0.6652445189986774,-5226.860434492332,5013.049732427948,0.09507406237511754
721,0.500309664604738,3.8978378400764085e-06,0.007625283952371283,0.6489061745981718,-6106.710622450216,4632.430994571479,0.09532480515197342
729,0.3176334309729915,4.756668355765822e-06,0.007234602689157663,0.5307017431450519,-4934.944851485677,5163.686812489228,0.0953631602274034
737,0.1843305241090324,4.650337155269159e-06,0.009638844526011672,0.3736905236360388,-4356.217540108499,3770.9241783690422,0.09640579958449504
745,0.1679886909282183,5.125797777010868e-06,0.015061379876653319,0.12168155264178325,-2891.428343658491,3885.797491657732,0.09615211363258444
753,0.2379729423273705,6.7864569566724835e-06,0.020965108307263,0.054969617274934594,-1856.145273436841,3101.006660166535,0.09640442423948996
761,0.29149548050146223,6.0022167858568425e-06,0.027127029467584517,0.07934491108985857,-1864.4105849069006,3354.540349366545,0.09573006014064124
769,0.1729755525389949,4.872273686646736e-06,0.06565299152707434,0.20393965314885756,-3134.827011279993,3678.673068311892,0.09624611021906976
777,0.13755838757057898,3.6594072204087747e-06,0.09818655397393007,0.6044588278396481,-2176.1843406196203,2692.128137151186,0.09690658043389874
785,0.11139917271137442,3.1734133620039886e-06,0.11031451919036413,0.2459126384264641,-2271.511038407594,3808.567495397312,0.09600927716144526
793,0.1503104510551376,1.900109967061921e-06,0.14264053032118365,0.24485107432334866,-5936.704133406588,4391.959029600135,0.09572810777838588
801,0.12057516476996208,1.3056355068439215e-06,0.15526104642282396,0.3843546903112039,-6616.417053118166,4848.719022473252,0.09554743606327523
809,0.12869791083921842,1.5415323578869698e-06,0.15953802568912093,0.16990709906725193,-5683.354295344892,4708.492081897164,0.09552329956675376
817,0.13800418633306555,1.5756188213618025e-06,0.2328457868813451,0.6837097604637229,-7580.077937462714,4844.35783834346,0.09639420229328148
825,0.15506018155905915,1.2012468795870054e-06,0.23305191766713576,0.2094366858580646,-7038.5110610742995,4185.422001122568,0.09625515170236347
833,0.12067063109851475,1.615687835358901e-06,0.3117571767593865,0.07998977909769546,-8099.447182619736,5689.51567909661,0.09688814647603593
841,0.15644694520487396,1.2946964153172713e-06,0.7777961541143633,0.10316562962421967,-8102.829035399575,6195.570529345966,0.0961074183779298
849,0.15051812975871692,1.003044417484747e-06,0.9222609462646508,0.053185843852516006,-7316.699600965365,5815.014620015578,0.09610667563699103
857,0.15051316829171374,1.040900106208404e-06,0.8816131485173898,0.02657947524258944,-4397.363275426013,6895.853059346005,0.09568625049431362
