,kpa,kSTATbinding,kSOCSon,kd4,k_d4,delR,meanR,kloc,kSOCSmRNA,mRNAdeg,mRNAtrans,kSOCS,gamma
585,2.134070071968127,4.436932898055014e-05,0.0017392010052380731,138.91738018488078,94.4530678091065,17685.22949382663,-1347.9029252950986,0.00280646856561899,1.1027156136517918e-07,0.0005772314881046832,0.0006924870663061117,0.0006061387509597853,-2.07843094937959
645,10.621496034098378,0.0003187397960765489,0.00424529249160267,65.33419719035726,42.48425726122525,10001.906326511791,-1631.3121756620083,0.0014399246180606525,9.482555485148027e-08,0.0007163050705574235,0.0017396496540687274,0.0012762797084277925,-0.20643669146326504
705,17.7369238910695,0.00027632983922311067,0.0064657200842738365,119.1072304563787,67.47926796873854,9545.361528461297,-1348.5600388096334,0.0003891685175269889,2.427080976011856e-07,0.0010842012317415744,0.0012506009916329506,0.001290319748738491,-0.4335891940042289
765,25.89415421700789,0.00035160904057961526,0.005759796353084064,155.10358137664454,108.6882877503917,14569.433302572184,-2613.6017304357056,0.0022050520318245472,8.155648196008051e-08,0.0021694669346516687,0.0010887176893025572,0.0014884898210308967,-0.19656776575192586
825,303.2638587108668,0.0006109527843601338,0.010536819403355342,575.4452611645011,322.32468240511866,23611.783244425966,-7396.962856762715,0.0006325261719959001,1.8614863190817554e-07,0.0016565112548110358,0.0011409473371276414,0.0013746823760248485,-0.19416975810895395
885,495.8866552766827,0.0007517006872040216,0.017546817252677874,1002.2996199920433,730.9938904652623,19411.601089484084,-2882.209874017101,0.0007633252219508945,1.4158194698776225e-07,0.0019764028618237638,0.0023644629881376306,0.0005259480554160429,-0.2940520011361442
225,4.690680667799109,0.00041478373237091614,4.87876353057823e-05,0.425838925938158,0.6050836599002266,119.8532530209859,298.0937329884418,0.0005463371327115715,7.112841299666101e-06,6.388712776797863,0.046771813574579935,2.977959011624951e-05,0.6874869323140517
285,3.4899534383156317,0.00042465925649075374,5.084793928085162e-05,0.8655001406302885,0.7386269198564231,1015.9900134526848,725.8233782118779,0.0006712681798494665,2.519740291364631e-05,5.506196899874007,0.017920312345635632,4.801706858937675e-05,0.4698330479941808
345,5.418249723708311,0.00026035210964680237,7.261014746626791e-05,0.9975823344694028,0.8349161998859258,-57.55739650006233,516.8025733984601,0.0013283527042426085,3.140153239002247e-05,2.6141108434971665,0.015514144496704128,6.224603414720762e-05,0.5839363214374652
405,8.62446671176851,0.0014686633420161544,5.711781488722296e-05,0.6889810821400094,0.6102230178810498,67.16087969650715,210.26553887609288,0.00037069748634384136,3.727811575476503e-05,3.5690780515158167,0.04732699827945418,9.926400732937741e-05,0.4717500013069465
465,7.719992690638198,0.0007302061630561947,6.886946477028493e-05,0.5536092588982378,0.5744839002651727,372.6947666548061,331.137376958947,7.16461930666126e-05,5.515236912647052e-05,4.700848531140234,0.04206896837404174,0.000101502819845541,0.4979836794831437
525,8.97663463448471,0.00029622462474564236,0.0003018221292427044,0.6238460798364526,0.8341118895296425,575.1440575802305,590.5901657669108,9.829218675086269e-05,0.0001111869603628775,4.792168697959681,0.02939510538414952,1.295898943526535e-05,0.4576448220926858
585,9.56944103024616,0.001271428421429787,0.00044236962892583987,0.9075032843415768,0.6899457987215983,3.4794724586866472,285.0007851931132,6.890856849798008e-05,9.876498257435446e-05,3.856931998523424,0.017124717015440192,2.420922719427801e-05,0.3937799832665996
645,7.5428948235569875,0.0007196769598834033,0.0010954888857548411,0.7304363125998191,0.7925714833049495,-182.03472175530976,292.3013042157485,4.207786364811837e-05,4.7944979932881293e-05,2.8755946424276724,0.03497408590566667,2.3441320038062093e-05,0.5957307294478502
705,6.648070592646249,0.0014910697885481881,0.00037148476547084377,0.6394953194697608,0.7587436278224196,-93.25139129112688,194.22992538810882,3.818173432777501e-05,9.894260636164926e-05,1.9966935968886044,0.037203824486630115,4.296179407396637e-05,0.6006752946834969
765,8.096936513062955,0.0007840524781587889,0.0004078105694791762,1.0849118160359963,0.8165082890031456,-683.1395756922564,463.8722865505429,0.00017547168655505574,0.00016345097657949274,7.449011199768883,0.06940895973384525,0.00012212169159607543,0.5261210116504897
825,5.74341020050424,8.784024752627029e-05,0.0003354498689425338,0.6250468064827891,0.8116117618735116,1951.7320792789965,1295.336269375962,6.525686061191787e-05,0.00010776301169346742,2.658774897501905,0.04726157187863169,3.263179610589356e-05,0.5795030395374413
885,5.577245767834616,0.0003315082726584338,0.00019966546859794218,0.5815956148220327,0.7547081730791695,794.4166553434952,534.1035769017221,0.00019146100350794876,0.0002154459471965013,6.1034677195466145,0.05898605561357311,0.00019509867868871408,0.7038606468457783
