,kpa,kSTATbinding,kSOCSon,kd4,k_d4,delR,meanR,kloc,kSOCSmRNA,mRNAdeg,mRNAtrans,kSOCS,gamma
630,4.6574551200806695,8.039945579358419e-06,3.0451001662466643e-06,2.0166230366341913,0.010111771935908231,-6013.403342495256,4978.846699254426,0.023395106711179076,0.4954435866261749,5.1707941505314675e-05,0.45027283865107687,0.00015785917486184237,1.1408254722633675
660,2.469248508421629,1.6772700999210503e-05,2.9034320697344e-06,1.0823730636736089,0.06226592334332789,-9219.928272789452,5462.844047517621,0.02228350748351033,0.5123577944929011,7.438285647761005e-05,0.3525818973807074,0.0001625688301527995,1.2324862365163942
690,4.04588440636372,1.5803780473995204e-05,4.285048514381672e-06,1.8489893738885463,0.03521018967027185,-7549.63565691436,4904.530003278599,0.03393279479370833,0.5672864696566642,0.00012222331731898605,0.6344424779575059,0.00014897278964899358,1.0969509167242248
720,4.625156613233551,2.4427921386333836e-05,7.5523009613492834e-06,0.8826602058914326,0.00519165802644157,-9520.670535035797,5459.430424754875,0.03401097748405589,0.626382093218825,0.00010678130328479044,1.160359034395651,0.0001406522866174904,1.0388870944772481
750,4.819254040623304,3.078888358882784e-05,3.3412071580019577e-06,1.215219533288786,0.10390852906330987,-8304.163855257797,4881.831223852816,0.0502322356735952,0.548073717314037,0.00020743513241499055,4.0990200529650815,0.00016790769823060343,0.7865359367021347
780,3.1372549438253112,1.0723963264452925e-05,5.205483873976265e-06,0.842705405749803,0.03877125235871919,-7917.672219503788,4183.14809059641,0.03164878393376612,0.7393897736711497,0.0001995045224856985,4.833462406372147,0.00021566798264661637,4.161608264228757
810,3.2817988846248785,4.210131570066677e-05,4.043966813201157e-06,1.0231974874593022,0.010272852049678097,-6065.139671164694,3351.8452205432122,0.02802447650390241,0.30314242724801876,0.00022436331112907386,6.29511198519056,0.00035258934560116097,1.2871237610718431
840,4.1664996498143525,1.002212074284783e-05,3.276261955617497e-06,0.8189124932878611,0.016095389095434922,-9138.11412936841,4920.336656786656,0.03528054116903012,0.9586781454867358,0.0003506385178079198,8.731341756130051,0.0003497860436194714,3.0622004168844157
870,4.677517153724446,8.635305411783045e-06,1.4602895105985534e-06,1.8563538215319995,0.08635830869703187,-5308.999735392078,4014.1749633872114,0.048865651337297936,0.9763473738935888,0.000434488863090473,9.119954667236925,0.0005915250729861942,1.7388431893479763
900,4.142821891100411,6.6931636697223005e-06,1.2061888131282437e-06,1.376553830954351,0.05366874346925629,-4270.426765616577,3915.1830813629804,0.03645161483642414,1.016186322298348,0.0005279282324085757,7.15971591549119,0.0004971865254160978,1.6793920226700938
180,88.66851230896383,0.00012932688168449936,0.0002539358105065157,35.340523403709746,37.7204715362726,-9701.016898243253,6626.007672947566,0.1275327785611586,5.8576297351451915e-05,0.00018838920658673704,0.0030846882567050426,1.1000643540753305,0.7154115904257912
210,66.25318820926822,0.0010631244310761456,0.00035082317857131545,292.3409236002003,278.83083864720624,-10999.141621702498,6366.3940780813455,0.1691457867494542,6.850813912862232e-05,0.0005799333685307594,0.005742761907415259,2.4444741327835096,0.9110666594905369
240,61.35819146741289,0.004340072244242135,0.00041749088738927205,243.63648405231106,261.45252615571445,-9383.372903085412,4934.12156703587,0.25146804596978023,7.813539908490787e-05,0.0003521586017454369,0.0032538094563959096,3.2108700913556967,0.8459364799850101
